window,flag,n,mean_abs_bp,median_abs_bp,median_midrank_percentile,median_abs_standard_z,median_abs_robust_z
20,month_end,98,5.173469387755102,2.0,83.75,1.2459172092776134,2.0235
20,quarter_end,32,8.1875,2.5,91.25,1.341547692540082,3.878375
20,year_end,8,10.875,2.0,82.5,1.3921269250234922,2.0235
20,around_month_end,294,3.751700680272109,1.0,67.5,0.6040522416507614,1.349
20,around_quarter_end,96,5.197916666666667,2.0,75.0,0.5648012576271649,1.349
20,around_year_end,24,6.25,2.0,75.0,0.7083492821043806,1.6862499999999998
60,month_end,97,5.134020618556701,2.0,80.83333333333333,0.7517387476941784,2.0235
60,quarter_end,32,8.1875,2.5,94.16666666666666,1.4599376638174604,4.047
60,year_end,8,10.875,2.0,90.83333333333333,1.7590404575408947,3.5973333333333333
60,around_month_end,291,3.759450171821306,1.0,65.0,0.3926239861801145,1.349
60,around_quarter_end,96,5.197916666666667,2.0,76.66666666666667,0.647576738364521,2.0235
60,around_year_end,24,6.25,2.0,75.0,0.9126808668822279,2.0235
120,month_end,94,5.0,2.0,80.0,0.5533321652971974,2.0235
120,quarter_end,31,7.838709677419355,2.0,91.66666666666667,0.9021128059233688,4.047
120,year_end,8,10.875,2.0,94.375,1.4371865442387455,5.396
120,around_month_end,282,3.7163120567375887,1.0,66.25,0.2647222723409817,1.349
120,around_quarter_end,93,5.043010752688172,2.0,77.08333333333333,0.39605704495724176,1.349
120,around_year_end,24,6.25,2.0,80.41666666666666,0.7923245960525052,2.0235
252,month_end,87,3.8735632183908044,2.0,77.57936507936508,0.23769036599429624,1.349
252,quarter_end,28,5.642857142857143,2.0,89.18650793650794,0.2855522116675647,2.0235
252,year_end,7,4.714285714285714,2.0,88.69047619047619,0.20697349559921605,3.3725
252,around_month_end,261,3.0881226053639845,1.0,62.5,0.1701913855179508,0.6745
252,around_quarter_end,84,3.7857142857142856,1.0,76.88492063492063,0.2041897320976051,1.01175
252,around_year_end,21,3.761904761904762,1.0,78.76984126984127,0.17270283912455286,2.0235
