selection_reason,date,sofr_percent,previous_sofr_percent,change_bp,window,standard_z,robust_z,percentile_strict,percentile_midrank,percentile_weak,prior_less_count,prior_equal_count,prior_greater_count,baseline_first_change_date,baseline_last_change_date
top absolute movement with all windows available,2019-09-17,5.25,2.43,282.0,20,48.142629661223054,94.935875,100.0,100.0,100.0,20,0,0,2019-08-19,2019-09-16
top absolute movement with all windows available,2019-09-17,5.25,2.43,282.0,60,39.97162288316818,95.1045,100.0,100.0,100.0,60,0,0,2019-06-21,2019-09-16
top absolute movement with all windows available,2019-09-17,5.25,2.43,282.0,120,41.323105321866485,126.806,100.0,100.0,100.0,120,0,0,2019-03-27,2019-09-16
top absolute movement with all windows available,2019-09-17,5.25,2.43,282.0,252,37.24483055118599,126.806,100.0,100.0,100.0,252,0,0,2018-09-12,2019-09-16
top absolute movement with all windows available,2019-09-18,2.55,5.25,-270.0,20,-4.538858657031208,-73.11580000000001,95.0,95.0,95.0,19,0,1,2019-08-20,2019-09-17
top absolute movement with all windows available,2019-09-18,2.55,5.25,-270.0,60,-7.413062275205788,-91.0575,98.33333333333333,98.33333333333333,98.33333333333333,59,0,1,2019-06-24,2019-09-17
top absolute movement with all windows available,2019-09-18,2.55,5.25,-270.0,120,-10.228219869334056,-91.0575,99.16666666666667,99.16666666666667,99.16666666666667,119,0,1,2019-03-28,2019-09-17
top absolute movement with all windows available,2019-09-18,2.55,5.25,-270.0,252,-14.059705797211176,-91.0575,99.60317460317461,99.60317460317461,99.60317460317461,251,0,1,2018-09-13,2019-09-17
top absolute movement with all windows available,2020-03-16,0.26,1.1,-84.0,20,-8.198401011875522,-28.329,100.0,100.0,100.0,20,0,0,2020-02-14,2020-03-13
top absolute movement with all windows available,2020-03-16,0.26,1.1,-84.0,60,-14.059135077517642,-56.658,100.0,100.0,100.0,60,0,0,2019-12-17,2020-03-13
top absolute movement with all windows available,2020-03-16,0.26,1.1,-84.0,120,-8.207138647102758,-56.658,100.0,100.0,100.0,120,0,0,2019-09-19,2020-03-13
top absolute movement with all windows available,2020-03-16,0.26,1.1,-84.0,252,-3.2053714408090292,-56.658,99.2063492063492,99.2063492063492,99.2063492063492,250,0,2,2019-03-13,2020-03-13
top absolute movement with all windows available,2022-06-16,1.45,0.7,75.0,20,65.81937404746418,50.5875,100.0,100.0,100.0,20,0,0,2022-05-18,2022-06-15
top absolute movement with all windows available,2022-06-16,1.45,0.7,75.0,60,11.591986021122759,,100.0,100.0,100.0,60,0,0,2022-03-22,2022-06-15
top absolute movement with all windows available,2022-06-16,1.45,0.7,75.0,120,14.70311486556648,,100.0,100.0,100.0,120,0,0,2021-12-23,2022-06-15
top absolute movement with all windows available,2022-06-16,1.45,0.7,75.0,252,21.276574708087498,,100.0,100.0,100.0,252,0,0,2021-06-15,2022-06-15
