date,previous_date,sofr_percent,previous_sofr_percent,change_bp,absolute_change_bp,calendar_gap_days,current_processed_id,previous_processed_id,month_end,quarter_end,year_end,around_month_end,around_quarter_end,around_year_end,window,baseline_first_change_date,baseline_last_change_date,baseline_level_min_percent,baseline_level_max_percent,baseline_level_range_percent,baseline_processed_ids_sha256,prior_mean_bp,prior_median_bp,prior_std_bp,prior_mad_bp,standard_z,robust_z,percentile_strict,percentile_midrank,percentile_weak,prior_less_count,prior_equal_count,prior_greater_count,prior_max_abs_bp,std_without_largest_bp,std_inflation_ratio,z_without_largest
2019-09-17,2019-09-16,5.25,2.43,282.0,282.0,1,proc_sha256:978df2f69798ddbacac79a7d16147d88a8b0c80da5c2388e18019305eb113ee8,proc_sha256:933e99e3acc1f014fceee8094d988ebc3370be6a1d04b954a3ee39c1072b627e,False,False,False,False,False,False,120,2019-03-27,2019-09-16,2.09,2.76,0.6699999999999999,1a3e87421ef77ebca3d5a22f5744767e33cd1e1fd89bb153da9be2cd07142ece,0.025,0.0,6.823664335090289,1.5,41.323105321866485,126.806,100.0,100.0,100.0,120,0,0,36.0,5.988844493535784,1.1393958120728613,47.032823979916884
2019-09-17,2019-09-16,5.25,2.43,282.0,282.0,1,proc_sha256:978df2f69798ddbacac79a7d16147d88a8b0c80da5c2388e18019305eb113ee8,proc_sha256:933e99e3acc1f014fceee8094d988ebc3370be6a1d04b954a3ee39c1072b627e,False,False,False,False,False,False,252,2018-09-12,2019-09-16,1.92,3.15,1.23,17564c9d26f34d46ce49eefc9ee558d7349ed5f8753f6096a421d9d40699c597,0.19444444444444445,0.0,7.56629984309546,1.5,37.24483055118599,126.806,100.0,100.0,100.0,252,0,0,54.0,6.771381069887109,1.117393891291013,41.64880360564715
2022-11-03,2022-11-02,3.8,3.05,75.0,75.0,1,proc_sha256:fe5c81cc733dfaa5a02753cb029d852acd2a58dc282a5e4db463db2d3d71492d,proc_sha256:65bc5d5036c1a81695ffdd6ea4a57cd06ffce2cae9a6c86651caca4b11f2162f,False,False,False,False,False,False,60,2022-08-09,2022-11-02,2.25,3.05,0.7999999999999998,31761bee336a8db993d78d4f0a25327627b49be39181c366a9db856867059f78,1.2833333333333334,0.0,9.593591905523057,0.5,7.683948555725805,101.175,100.0,100.0,100.0,60,0,0,74.0,0.9545486171675743,10.050396316103896,78.51789965897075
2022-09-22,2022-09-21,2.99,2.25,74.0,74.0,1,proc_sha256:baf7b173009fe627e70767c29d1a62f45ef3e746901fb96191bf9ed2eade3224,proc_sha256:918a9fc6c9aa5d850bc5680b58a17dd6d0a018d11e045bb0ade1612d82ec65e7,False,False,False,False,False,False,120,2022-03-31,2022-09-21,0.26,2.3,2.04,b78b5ac3a484926abc7db2b880fe21d0ff1ebec990bd793f6b5da522acfeaada,1.65,0.0,10.625520254193152,0.5,6.809078357499577,99.826,98.33333333333333,98.33333333333333,98.33333333333333,118,0,2,75.0,8.238945108044902,1.2896699898895896,8.85627778771993
2019-09-17,2019-09-16,5.25,2.43,282.0,282.0,1,proc_sha256:978df2f69798ddbacac79a7d16147d88a8b0c80da5c2388e18019305eb113ee8,proc_sha256:933e99e3acc1f014fceee8094d988ebc3370be6a1d04b954a3ee39c1072b627e,False,False,False,False,False,False,60,2019-06-21,2019-09-16,2.09,2.59,0.5,8800065b26abe0d00ba8d2bc703285b81f1ebdb440995356c1071d46dbb017aa,0.11666666666666667,0.0,7.0520862802403945,2.0,39.97162288316818,95.1045,100.0,100.0,100.0,60,0,0,36.0,5.264816558596799,1.3394742631108778,53.42468883961335
2019-09-17,2019-09-16,5.25,2.43,282.0,282.0,1,proc_sha256:978df2f69798ddbacac79a7d16147d88a8b0c80da5c2388e18019305eb113ee8,proc_sha256:933e99e3acc1f014fceee8094d988ebc3370be6a1d04b954a3ee39c1072b627e,False,False,False,False,False,False,20,2019-08-19,2019-09-16,2.09,2.43,0.3400000000000003,afeddeac2d22d0e6b875b8dccab4682a809efa9bdf2b5564c5deb0b80e28be06,1.5,0.5,5.8264370262667935,2.0,48.142629661223054,94.935875,100.0,100.0,100.0,20,0,0,23.0,2.9666765227512206,1.9639610121239317,94.9316775144027
2019-09-18,2019-09-17,2.55,5.25,-270.0,270.0,1,proc_sha256:417009354d6ac98ea8adf86cb05ee8831f2b114b3eb6f789c0585a2bd85db316,proc_sha256:978df2f69798ddbacac79a7d16147d88a8b0c80da5c2388e18019305eb113ee8,False,False,False,False,False,False,60,2019-06-24,2019-09-17,2.09,5.25,3.16,f62f50c2dc62c23bb2cb0c3d349a7f2ced724f2d1b4c0aa6ba432df8e7434e7c,4.8,0.0,37.06970072531483,2.0,-7.413062275205788,-91.0575,98.33333333333333,98.33333333333333,98.33333333333333,59,0,1,282.0,7.111658507894255,5.212525416422319,-37.980127225657625
2019-09-18,2019-09-17,2.55,5.25,-270.0,270.0,1,proc_sha256:417009354d6ac98ea8adf86cb05ee8831f2b114b3eb6f789c0585a2bd85db316,proc_sha256:978df2f69798ddbacac79a7d16147d88a8b0c80da5c2388e18019305eb113ee8,False,False,False,False,False,False,120,2019-03-28,2019-09-17,2.09,5.25,3.16,034eaf17a0a012d9bf94d53e32db213a27c5ad1288578df66ae468c4fa94b51a,2.375,0.0,26.62975605526692,2.0,-10.228219869334056,-91.0575,99.16666666666667,99.16666666666667,99.16666666666667,119,0,1,282.0,6.852516777382178,3.886127815573202,-39.40526070294272
2019-09-18,2019-09-17,2.55,5.25,-270.0,270.0,1,proc_sha256:417009354d6ac98ea8adf86cb05ee8831f2b114b3eb6f789c0585a2bd85db316,proc_sha256:978df2f69798ddbacac79a7d16147d88a8b0c80da5c2388e18019305eb113ee8,False,False,False,False,False,False,252,2018-09-13,2019-09-17,1.92,5.25,3.33,91f8d52cf7acabfea8cbbc187e9b45cbc879d6c7653a07225985e44a4e322d4e,1.3134920634920635,0.0,19.297238219402047,2.0,-14.059705797211176,-91.0575,99.60317460317461,99.60317460317461,99.60317460317461,251,0,1,282.0,7.581407326597934,2.5453372161790244,-35.63919038825116
2019-09-18,2019-09-17,2.55,5.25,-270.0,270.0,1,proc_sha256:417009354d6ac98ea8adf86cb05ee8831f2b114b3eb6f789c0585a2bd85db316,proc_sha256:978df2f69798ddbacac79a7d16147d88a8b0c80da5c2388e18019305eb113ee8,False,False,False,False,False,False,20,2019-08-20,2019-09-17,2.09,5.25,3.16,892c3a2eb8a85d58cb6f98f04fbd0f0a055ad0980dd187203368e3fac46b58bd,15.7,1.0,62.945339696229176,2.5,-4.538858657031208,-73.11580000000001,95.0,95.0,95.0,19,0,1,282.0,5.92595638393732,10.621971479042015,-45.8464748850891
2020-03-16,2020-03-13,0.26,1.1,-84.0,84.0,3,proc_sha256:fae6f500a6604598d2c5b5f3de05336d3250499f62ea426b6797ad53c791676c,proc_sha256:945e84f5c10739fe1b811e33259ee3329bf5f0e5d978bb635f9a0e9faeefe6b4,False,False,False,False,False,False,60,2019-12-17,2020-03-13,1.09,1.64,0.5499999999999998,ea0b2fb9c8d54204c5ba874bd17a91419bb8655b801c2194d34b6f2244353ff4,-0.8666666666666667,0.0,5.91311861469161,1.0,-14.059135077517642,-56.658,100.0,100.0,100.0,60,0,0,41.0,2.70678952388113,2.1845505764382764,-30.964195251449706
2020-03-16,2020-03-13,0.26,1.1,-84.0,84.0,3,proc_sha256:fae6f500a6604598d2c5b5f3de05336d3250499f62ea426b6797ad53c791676c,proc_sha256:945e84f5c10739fe1b811e33259ee3329bf5f0e5d978bb635f9a0e9faeefe6b4,False,False,False,False,False,False,120,2019-09-19,2020-03-13,1.09,2.35,1.26,81b6249295a9b2c2c717c6c6954e60519e4cdcb48c09da246fd92dcb95377045,-1.2083333333333333,0.0,10.087762645010677,1.0,-8.207138647102758,-56.658,100.0,100.0,100.0,120,0,0,60.0,8.54910329041695,1.1799790343296561,-9.742040943530622
2020-03-16,2020-03-13,0.26,1.1,-84.0,84.0,3,proc_sha256:fae6f500a6604598d2c5b5f3de05336d3250499f62ea426b6797ad53c791676c,proc_sha256:945e84f5c10739fe1b811e33259ee3329bf5f0e5d978bb635f9a0e9faeefe6b4,False,False,False,False,False,False,252,2019-03-13,2020-03-13,1.09,5.25,4.16,cbdde7939336ffb1e6749523289a03e7bd3643f57745f2835225b9df9aee5e2f,-0.5119047619047619,0.0,26.046309072069043,1.0,-3.2053714408090292,-56.658,99.2063492063492,99.2063492063492,99.2063492063492,250,0,2,282.0,18.989471605932323,1.3716184216485603,-4.337274438698268
2022-06-16,2022-06-15,1.45,0.7,75.0,75.0,1,proc_sha256:5db00b21651185617ad01c2afa6f5ee25fef4aa3cc021b057769cc442b8a1035,proc_sha256:8801656f3eda29f2d578b3f9c65ca662f8e5f3d4fc655e5679f3cc32f01e9a26,False,False,False,False,False,False,20,2022-05-18,2022-06-15,0.69,0.8,0.1100000000000001,16fa659664ad0fcf27a17d828e0c7de2cf27a8e97398908c7b3021fe28dbc340,-0.5,0.0,1.1470786693528088,1.0,65.81937404746418,50.5875,100.0,100.0,100.0,20,0,0,4.0,0.820069887194403,1.3987572123604706,91.8406963232758
2022-07-28,2022-07-27,2.28,1.53,75.0,75.0,1,proc_sha256:5ffa6184300415e88df6284a4fcbcb0d3bac0b96dd03041e5eabacb73195dfe7,proc_sha256:40858b87b637835d800afd60155ba0ade7155842a6fee81111b92325563e6b85,False,False,False,True,False,False,20,2022-06-29,2022-07-27,1.5,1.54,0.040000000000000036,66b38a092dd6607bae8381d6fedef13f071c13457a545bc7b396cb3af1a8616a,0.05,0.0,0.9445132413883327,1.0,79.35304315038672,50.5875,100.0,100.0,100.0,20,0,0,2.0,0.8481145238787242,1.1136623826093008,88.49351056471177
2022-07-28,2022-07-27,2.28,1.53,75.0,75.0,1,proc_sha256:5ffa6184300415e88df6284a4fcbcb0d3bac0b96dd03041e5eabacb73195dfe7,proc_sha256:40858b87b637835d800afd60155ba0ade7155842a6fee81111b92325563e6b85,False,False,False,True,False,False,60,2022-05-02,2022-07-27,0.3,1.54,1.24,98d8a9c53784a544d0ab018063f5ec297eb53b98fe5e8c2314e78826d699b59a,2.0833333333333335,0.0,11.530786597107008,1.0,6.323650693957075,50.5875,98.33333333333333,99.16666666666667,100.0,59,1,0,75.0,6.4829047324270705,1.7786450785603494,11.438166290177787
2022-11-03,2022-11-02,3.8,3.05,75.0,75.0,1,proc_sha256:fe5c81cc733dfaa5a02753cb029d852acd2a58dc282a5e4db463db2d3d71492d,proc_sha256:65bc5d5036c1a81695ffdd6ea4a57cd06ffce2cae9a6c86651caca4b11f2162f,False,False,False,False,False,False,20,2022-10-05,2022-11-02,3.01,3.05,0.040000000000000036,af6b7e94cf332cedc443edac2174d2510f59a0d04e68f7e9ab10ca1e3586df29,0.05,0.0,0.7591546545162482,1.0,98.72823614281857,50.5875,100.0,100.0,100.0,20,0,0,1.0,0.7453559924999299,1.0185128477602192,100.62305898749054
2022-11-03,2022-11-02,3.8,3.05,75.0,75.0,1,proc_sha256:fe5c81cc733dfaa5a02753cb029d852acd2a58dc282a5e4db463db2d3d71492d,proc_sha256:65bc5d5036c1a81695ffdd6ea4a57cd06ffce2cae9a6c86651caca4b11f2162f,False,False,False,False,False,False,120,2022-05-12,2022-11-02,0.69,3.05,2.36,0b0053df448ae1dbf75c7a31a06b39b03a41f2a5cb49c88f73626aa91cbe2f6c,1.8916666666666666,0.0,11.750770282874921,1.0,6.22157795390472,50.5875,98.33333333333333,99.16666666666667,100.0,118,2,0,75.0,9.673416631044121,1.2147487005950013,7.621163430409679
2022-09-22,2022-09-21,2.99,2.25,74.0,74.0,1,proc_sha256:baf7b173009fe627e70767c29d1a62f45ef3e746901fb96191bf9ed2eade3224,proc_sha256:918a9fc6c9aa5d850bc5680b58a17dd6d0a018d11e045bb0ade1612d82ec65e7,False,False,False,False,False,False,60,2022-06-28,2022-09-21,1.5,2.3,0.7999999999999998,4efbf7360eda76ab03dbd367361c5cfdc6043a34cbafdbb666ec9dd2eab273a4,1.25,0.0,9.719149366419865,1.0,7.485222961111679,49.913,98.33333333333333,98.33333333333333,98.33333333333333,59,0,1,75.0,0.8509629433967631,11.421354410127694,86.96030840616447
2022-12-15,2022-12-14,4.32,3.8,52.0,52.0,1,proc_sha256:ef3ba03ce8b86ff044e8b8b0f37126c851afac07a2cd341bf9dbfc255f8ca9dc,proc_sha256:e3ba26ac0956bcfa3b218e43cb7d0692776b1fb368bc0dbfc1394603ce342e8b,False,False,False,False,False,False,60,2022-09-19,2022-12-14,2.25,3.82,1.5699999999999998,959ea1ce5b727f5f7722dc19de93a0dbcb9e88e47beeb31ee02b83319aaab312,2.55,0.0,13.508848324370492,1.0,3.6605637144352463,35.074,96.66666666666667,96.66666666666667,96.66666666666667,58,0,2,75.0,9.674781790225879,1.3962948847092393,5.238150813168027
