date,previous_date,sofr_percent,previous_sofr_percent,change_bp,absolute_change_bp,calendar_gap_days,current_processed_id,previous_processed_id,month_end,quarter_end,year_end,around_month_end,around_quarter_end,around_year_end,window,baseline_first_change_date,baseline_last_change_date,baseline_level_min_percent,baseline_level_max_percent,baseline_level_range_percent,baseline_processed_ids_sha256,prior_mean_bp,prior_median_bp,prior_std_bp,prior_mad_bp,standard_z,robust_z,percentile_strict,percentile_midrank,percentile_weak,prior_less_count,prior_equal_count,prior_greater_count,prior_max_abs_bp,std_without_largest_bp,std_inflation_ratio,z_without_largest
2022-09-22,2022-09-21,2.99,2.25,74.0,74.0,1,proc_sha256:baf7b173009fe627e70767c29d1a62f45ef3e746901fb96191bf9ed2eade3224,proc_sha256:918a9fc6c9aa5d850bc5680b58a17dd6d0a018d11e045bb0ade1612d82ec65e7,False,False,False,False,False,False,20,2022-08-24,2022-09-21,2.25,2.29,0.040000000000000036,6d7a8f556e25dbf4dcb472dcfa7254330979bb88090a0ff7f866fbe60a0cd505,-0.1,0.0,0.6407232755171874,0.0,115.65055123085233,,100.0,100.0,100.0,20,0,0,1.0,0.6021404316396671,1.0640761554118807,123.15714215520354
2022-11-03,2022-11-02,3.8,3.05,75.0,75.0,1,proc_sha256:fe5c81cc733dfaa5a02753cb029d852acd2a58dc282a5e4db463db2d3d71492d,proc_sha256:65bc5d5036c1a81695ffdd6ea4a57cd06ffce2cae9a6c86651caca4b11f2162f,False,False,False,False,False,False,20,2022-10-05,2022-11-02,3.01,3.05,0.040000000000000036,af6b7e94cf332cedc443edac2174d2510f59a0d04e68f7e9ab10ca1e3586df29,0.05,0.0,0.7591546545162482,1.0,98.72823614281857,50.5875,100.0,100.0,100.0,20,0,0,1.0,0.7453559924999299,1.0185128477602192,100.62305898749054
2022-12-15,2022-12-14,4.32,3.8,52.0,52.0,1,proc_sha256:ef3ba03ce8b86ff044e8b8b0f37126c851afac07a2cd341bf9dbfc255f8ca9dc,proc_sha256:e3ba26ac0956bcfa3b218e43cb7d0692776b1fb368bc0dbfc1394603ce342e8b,False,False,False,False,False,False,20,2022-11-16,2022-12-14,3.79,3.82,0.029999999999999805,894bab8a40f73b2d300ae379537b2ecf30b3de762c4f84dcfda6ebd46b61a4e4,0.0,0.0,0.6488856845230502,0.0,80.1373820385967,,100.0,100.0,100.0,20,0,0,1.0,0.6212607441973955,1.0444659357341872,83.78548309243968
2022-07-28,2022-07-27,2.28,1.53,75.0,75.0,1,proc_sha256:5ffa6184300415e88df6284a4fcbcb0d3bac0b96dd03041e5eabacb73195dfe7,proc_sha256:40858b87b637835d800afd60155ba0ade7155842a6fee81111b92325563e6b85,False,False,False,True,False,False,20,2022-06-29,2022-07-27,1.5,1.54,0.040000000000000036,66b38a092dd6607bae8381d6fedef13f071c13457a545bc7b396cb3af1a8616a,0.05,0.0,0.9445132413883327,1.0,79.35304315038672,50.5875,100.0,100.0,100.0,20,0,0,2.0,0.8481145238787242,1.1136623826093008,88.49351056471177
2022-05-05,2022-05-04,0.79,0.3,49.0,49.0,1,proc_sha256:1f740fe739f6b9cec51f720ea3acb73e40faad39547ad2ce30323aa87178fb20,proc_sha256:85235a728c3d14547aa56bd3a824a161b29315af4b68f05c5cd9012ded9c7586,False,False,False,False,False,False,20,2022-04-06,2022-05-04,0.26,0.3,0.03999999999999998,2c13872c91779a269d7f54251bbaac47d693e88567e4d3afe23ad1243c35550d,0.0,0.0,0.7254762501100117,0.0,67.54183888524209,,100.0,100.0,100.0,20,0,0,2.0,0.5671308728156005,1.2792042981336627,86.58541707331995
2022-03-17,2022-03-16,0.3,0.05,25.0,25.0,1,proc_sha256:24a4d1b1f37ba69368ff6f35c17246539c4220153cc79a6910d4ac9c8ec26a93,proc_sha256:a70b569b30bba5db24597ad18b68de96dafc7198f8af731a648ae700f6b66525,False,False,False,False,False,False,252,2021-03-16,2022-03-16,0.01,0.05,0.04,7736599eb80b04206d1afdca557a8eb6615fc5be23860881f53512b349198749,0.015873015873015872,0.0,0.3783825291850324,0.0,66.02875412334254,,100.0,100.0,100.0,252,0,0,4.0,0.282842712474619,1.3377842613462656,88.38834764831844
2022-06-16,2022-06-15,1.45,0.7,75.0,75.0,1,proc_sha256:5db00b21651185617ad01c2afa6f5ee25fef4aa3cc021b057769cc442b8a1035,proc_sha256:8801656f3eda29f2d578b3f9c65ca662f8e5f3d4fc655e5679f3cc32f01e9a26,False,False,False,False,False,False,20,2022-05-18,2022-06-15,0.69,0.8,0.1100000000000001,16fa659664ad0fcf27a17d828e0c7de2cf27a8e97398908c7b3021fe28dbc340,-0.5,0.0,1.1470786693528088,1.0,65.81937404746418,50.5875,100.0,100.0,100.0,20,0,0,4.0,0.820069887194403,1.3987572123604706,91.8406963232758
2022-03-17,2022-03-16,0.3,0.05,25.0,25.0,1,proc_sha256:24a4d1b1f37ba69368ff6f35c17246539c4220153cc79a6910d4ac9c8ec26a93,proc_sha256:a70b569b30bba5db24597ad18b68de96dafc7198f8af731a648ae700f6b66525,False,False,False,False,False,False,120,2021-09-22,2022-03-16,0.03,0.05,0.020000000000000004,9e2853951b94a4d3bc5873659cd28ba11f1c098e78751dd4ec21a182e26b5988,0.0,0.0,0.4099600308453939,0.0,60.98155458825234,,100.0,100.0,100.0,120,0,0,2.0,0.36784284773852616,1.114497762742436,67.91811620344386
2022-03-17,2022-03-16,0.3,0.05,25.0,25.0,1,proc_sha256:24a4d1b1f37ba69368ff6f35c17246539c4220153cc79a6910d4ac9c8ec26a93,proc_sha256:a70b569b30bba5db24597ad18b68de96dafc7198f8af731a648ae700f6b66525,False,False,False,False,False,False,60,2021-12-20,2022-03-16,0.04,0.05,0.010000000000000002,6c35a1108706a38258579363e1e55c2d53665701cff4316b4dd125d546c24167,0.0,0.0,0.41169348479630913,0.0,60.7247890074556,,100.0,100.0,100.0,60,0,0,1.0,0.39354820165404325,1.0461068887267255,63.4815525581273
2019-09-17,2019-09-16,5.25,2.43,282.0,282.0,1,proc_sha256:978df2f69798ddbacac79a7d16147d88a8b0c80da5c2388e18019305eb113ee8,proc_sha256:933e99e3acc1f014fceee8094d988ebc3370be6a1d04b954a3ee39c1072b627e,False,False,False,False,False,False,20,2019-08-19,2019-09-16,2.09,2.43,0.3400000000000003,afeddeac2d22d0e6b875b8dccab4682a809efa9bdf2b5564c5deb0b80e28be06,1.5,0.5,5.8264370262667935,2.0,48.142629661223054,94.935875,100.0,100.0,100.0,20,0,0,23.0,2.9666765227512206,1.9639610121239317,94.9316775144027
